substudy_num,alpha_hat,beta_hat,alpha_se,beta_se,alpha_ci_lower,alpha_ci_upper,alpha_variance,beta_ci_lower,beta_ci_upper,beta_variance
1,0.000166667,3.34E-06,5.93E-05,2.43E-07,6.06E-05,0.00030303,3.82E-09,2.29E-06,4.61E-06,3.49E-13
5,0.009090909,0.001242424,0.003087674,0.001092312,0.003787879,0.016414141,1.04E-05,-0.000515152,0.004030303,1.34E-06
6,0.008490909,-0.000548485,0.002172968,0.00066611,0.004906061,0.014006061,5.39E-06,-0.001518182,0.001293939,5.15E-07
7,1.00E-15,0.013672727,0.000723222,0.0028578,NA,0.009292929,NA,0.008763636,0.021036364,9.80E-06
8,0.001707071,0.000311111,0.000300854,0.000126606,0.001141414,0.002353535,9.56E-08,8.89E-05,0.000622222,1.85E-08
9,0.002020202,0.039292929,0.000144126,0.003170599,0.001717172,0.002323232,2.39E-08,0.032727273,0.046515152,1.24E-05
10,0.000972727,-4.87E-06,0.000179563,3.82E-05,0.000654545,0.00139697,3.59E-08,-6.96E-05,9.22E-05,1.70E-09
11,0.000464646,0.000142167,0.000209082,5.08E-05,8.08E-05,0.000949495,4.91E-08,5.53E-05,0.000276364,3.18E-09
12,1.00E-15,0.001090364,0.000492272,0.000239577,NA,0.001010101,NA,0.00068003,0.001687212,6.60E-08
13,0.003575758,-0.000303364,0.000334491,0.000113277,0.002969697,0.004333333,1.21E-07,-0.000498909,8.18E-07,1.63E-08
14,0.000363636,0.000191886,0.000198177,5.11E-05,1.00E-15,0.000808081,4.25E-08,9.98E-05,0.000314637,3.00E-09
15,0.00010101,2.25E-06,9.65E-05,6.92E-07,NA,0.000343434,NA,1.48E-07,5.39E-06,1.79E-12
17,1.00E-15,0.000284747,0.000431664,5.95E-05,NA,0.000681818,NA,0.00017697,0.000431717,4.22E-09
18,0.00620202,-5.66E-05,0.000747892,0.000139262,0.004757576,0.008040404,7.01E-07,-0.000262626,0.000424242,3.07E-08
19,0.001030303,1.48E-05,0.000209872,2.10E-05,0.000636364,0.001484848,4.69E-08,-2.18E-05,6.60E-05,5.01E-10
20,0.004565657,-0.000188313,0.000303336,3.05E-05,0.004010101,0.005323232,1.12E-07,-0.000235707,-0.000101424,1.17E-09
27,0.000560606,4.64E-06,0.000115632,3.32E-07,0.000333333,0.000818182,1.53E-08,1.36E-06,8.47E-06,3.28E-12
28,0.000424242,1.74E-05,0.000164139,2.61E-06,0.000121212,0.000787879,2.89E-08,1.24E-05,2.42E-05,9.13E-12
30,1.00E-15,0.006060606,0.000526597,0.000283514,NA,0.000530303,NA,0.005454545,0.006666667,9.56E-08
49,1.00E-15,0.019090909,1.16E-05,0.000642071,NA,2.53E-06,NA,0.017878788,0.020606061,4.84E-07
52,0.006060606,0.005153172,0.001806495,0.00096575,0.002424242,0.01,3.73E-06,0.003335111,0.007577253,1.17E-06
53,0.007575758,0.002627,0.001481853,0.000682204,0.00479798,0.010858586,2.39E-06,0.001415,0.004344,5.58E-07
55,1.00E-15,0.010969859,0.000254657,0.001099155,NA,0.000333333,NA,0.008884364,0.013837415,1.60E-06
57,0.002424242,0.023,0.004639597,0.004242593,NA,0.012525253,NA,0.015,0.034,2.35E-05
58,0.010606061,6.70E-05,0.001710823,0.000744185,0.007272727,0.014545455,3.44E-06,-0.001223109,0.001888445,6.30E-07
59,0.014242424,0.00234634,0.002517856,0.001319819,0.009393939,0.01969697,6.91E-06,9.29E-05,0.005639758,2.00E-06
60,0.001616162,0.00758039,0.002402842,0.001416563,NA,0.006969697,NA,0.005055414,0.011115358,2.39E-06
61,1.00E-15,0.008899394,0.001389801,0.001367719,NA,0.001515152,NA,0.006452929,0.012813737,2.63E-06
62,0.002227273,-0.000117435,0.000254806,0.000223304,0.001727273,0.002772727,7.11E-08,-0.000534707,0.000375705,5.39E-08
63,1.00E-15,0.012915979,0.000987616,0.002006925,NA,0.001868687,NA,0.009063094,0.018213697,5.45E-06
64,1.00E-15,0.001896218,0.001966893,0.000635647,NA,0.004747475,NA,0.000841891,0.003854255,5.91E-07
65,0.005656566,0.001605799,0.003432599,0.000248235,NA,0.013131313,NA,0.001153239,0.002239383,7.68E-08
68,0.009090909,0.01459596,0.001889519,0.000985887,0.005252525,0.012929293,3.84E-06,0.012575758,0.016868687,1.20E-06
69,1.00E-15,0.717171717,0.000731401,0.10437371,NA,0.002121212,NA,0.527777778,0.96969697,0.012709065
70,0.003737374,0.321212121,0.000868199,0.031615648,0.002020202,0.005555556,8.13E-07,0.263636364,0.393939394,0.001104935
71,0.006868687,0.180808081,0.00074884,0.013620377,0.005252525,0.008484848,6.80E-07,0.154545455,0.213131313,0.000223364
72,0.007676768,0.000169495,0.00261328,0.000141196,0.003030303,0.013737374,7.46E-06,-5.37E-05,0.00054899,2.36E-08
73,1.00E-15,0.000969697,0.000871545,0.000256039,NA,0.005454545,NA,0.000557576,0.001622222,7.38E-08
74,0.021616162,-0.004514845,0.001773203,0.004525847,0.018080808,0.025505051,3.59E-06,-0.013122452,0.006244664,2.44E-05
75,0.827272727,0.111943434,0.023175483,0.038038352,0.778787879,0.875757576,0.000611927,0.038483838,0.191279798,0.001519328
76,0.016090909,0.001716162,0.000983525,0.00168872,0.014121212,0.018191919,1.08E-06,-0.001513131,0.005366667,3.08E-06
77,1.00E-15,0.031212121,0.000162963,0.000918635,NA,3.88E-05,NA,0.029393939,0.033181818,9.34E-07
80,1.00E-15,0.000100446,0.000460028,2.23E-05,NA,0.004141414,NA,6.10E-05,0.000157415,6.05E-10
87,0.002989899,3.97E-05,0.000395254,4.14E-06,0.002181818,0.003878788,1.87E-07,3.16E-05,4.93E-05,2.03E-11
90,1.00E-15,0.003585739,0.00101528,0.000673335,NA,0.008686869,NA,0.002419072,0.00529685,5.39E-07
91,0.005757576,-8.28E-05,0.000423446,3.03E-06,0.00540404,0.007272727,2.27E-07,-8.97E-05,-5.54E-05,7.68E-11
92,0.061515152,-0.000733464,0.010398377,0.001816259,0.043333333,0.085757576,0.000117127,-0.003123844,0.006096195,5.53E-06
93,0.007464646,-0.000346022,0.001705794,0.000156033,0.005232323,0.01210101,3.07E-06,-0.000504608,0.000193169,3.17E-08
94,0.002525253,0.000193283,0.00131626,0.000178978,0.000505051,0.005858586,1.87E-06,-6.79E-05,0.000737475,4.22E-08
95,0.002222222,7.81E-05,0.001093609,0.000130632,0.000505051,0.005050505,1.34E-06,-0.000117207,0.000468618,2.23E-08
96,0.004393939,0.000708755,0.001214166,0.000346905,0.002121212,0.007272727,1.73E-06,0.000172349,0.001727925,1.57E-07
97,1.00E-15,0.124949495,0.000608861,0.04334033,NA,0.036363636,NA,0.063232323,0.262626263,0.00258733
98,0.001212121,0.012666667,0.004456112,0.002218912,NA,0.011515152,NA,0.008787879,0.018484848,6.12E-06
99,0.040909091,0.142848485,0.013719132,0.030345177,0.015151515,0.071212121,0.000204524,0.092545455,0.223333333,0.001113173
101,1.00E-15,0.023939394,0.000445126,0.002173336,NA,0.006363636,NA,0.01969697,0.028787879,5.38E-06
102,0.005606061,3.06E-06,0.000952031,2.53E-07,0.003787879,0.007727273,1.01E-06,1.03E-06,7.12E-06,2.41E-12
103,0.01030303,2.71E-05,0.002550357,5.36E-06,0.005454545,0.016060606,7.32E-06,1.50E-05,4.23E-05,4.85E-11
109,0.005090909,-0.000275268,0.001387708,0.000957395,0.002818182,0.008454545,2.07E-06,-0.001778965,0.002356203,1.11E-06
110,1.00E-15,0.011393939,0.000596407,0.002970576,NA,0.006666667,NA,0.006444444,0.019808081,1.16E-05
111,0.030909091,-0.006585324,0.003552842,0.003141322,0.024545455,0.039393939,1.43E-05,-0.011191107,0.003284209,1.36E-05
112,1.00E-15,0.046448485,0.000867335,0.013531783,NA,0.015909091,NA,0.024639394,0.087643434,0.000258324
113,0.021212121,0.005202349,0.003243955,0.003764562,0.015151515,0.028787879,1.21E-05,-0.001411441,0.015123033,1.78E-05
114,1.00E-15,0.033110101,0.000401259,0.006568771,NA,0.008585859,NA,0.021605051,0.049217172,4.96E-05
115,0.056787879,-0.000202647,0.008143406,4.63E-05,0.044262626,0.078080808,7.44E-05,-0.000270045,-7.53E-05,2.47E-09
116,1.00E-15,0.002631382,0.000820915,0.000325103,NA,0.074747475,NA,0.002039227,0.003381444,1.17E-07
117,1.00E-15,0.000271313,0.000210957,3.84E-05,NA,0.015656566,NA,0.000190909,0.000371818,2.13E-09
118,1.00E-15,0.000405556,0.000821527,5.35E-05,NA,0.013131313,NA,0.000310101,0.000529293,3.13E-09
119,0.207070707,0.000727091,0.030140113,0.000119202,0.146464646,0.272727273,0.001037475,0.000494364,0.000983091,1.55E-08
121,0.126262626,0.000640909,0.023230486,5.80E-05,0.080808081,0.174242424,0.000568121,0.000518182,0.000763636,3.92E-09
139,1.00E-15,0.019761027,0.000540791,0.003225205,NA,0.005808081,NA,0.013889883,0.028567744,1.40E-05
140,0.00969697,0.010417412,0.002788911,0.002369529,0.004242424,0.015757576,8.63E-06,0.006440343,0.016383016,6.43E-06
141,0.01530303,-0.000512311,0.001495785,0.000797893,0.012555556,0.01869697,2.45E-06,-0.001890389,0.001468676,7.34E-07
142,0.009393939,0.022972662,0.003104957,0.005795605,0.003636364,0.016363636,1.05E-05,0.012969111,0.037977987,4.07E-05
143,0.012121212,0.002567626,0.001723987,0.001071045,0.008585859,0.015656566,3.25E-06,0.000606484,0.005182482,1.36E-06
144,0.012323232,0.002121212,0.001227149,0.000601236,0.00989899,0.014949495,1.66E-06,0.001010101,0.003535354,4.15E-07
163,0.04,-0.000920034,0.005837445,0.001898864,0.029090909,0.053636364,3.92E-05,-0.003777476,0.004590747,4.56E-06
164,0.050090909,-0.002751765,0.004563467,0.000537873,0.042080808,0.061181818,2.37E-05,-0.003601883,-0.001193216,3.78E-07
165,1.00E-15,0.008442704,0.000637633,0.001767885,NA,0.016161616,NA,0.005308934,0.013143359,3.99E-06
166,1.00E-15,0.002914141,0.000308739,0.000621516,NA,0.016161616,NA,0.001708081,0.004522222,5.15E-07
167,0.024242424,0.005360115,0.009069789,0.001771907,0.007070707,0.045454545,9.59E-05,0.00221668,0.010468196,4.43E-06
168,0.04040404,0.001003926,0.008971657,0.000594757,0.023232323,0.060606061,9.09E-05,6.05E-05,0.002702108,4.54E-07
170,0.001464646,0.000247862,0.000180155,5.64E-05,0.001060606,0.001818182,3.73E-08,0.000142311,0.000374522,3.51E-09
171,0.001313131,0.00059699,0.000246316,0.000108273,0.000808081,0.001868687,7.32E-08,0.000407394,0.000862424,1.35E-08
172,0.014242424,0.001862812,0.003058239,0.000772503,0.008484848,0.020909091,1.00E-05,0.000547737,0.003835424,7.03E-07
173,0.012626263,0.001045655,0.003135957,0.000833872,0.006565657,0.01969697,1.12E-05,-0.000358706,0.00320621,8.27E-07
174,0.034545455,-0.002622581,0.0033414,0.001088245,0.028484848,0.042121212,1.21E-05,-0.004505939,0.000516348,1.64E-06
175,1.00E-15,0.018412647,0.00119493,0.006781925,NA,0.011111111,NA,0.008048047,0.03766119,5.71E-05
185,0.001919192,0.003505051,0.000377088,0.001857975,0.001212121,0.002777778,1.60E-07,0.000393939,0.00859596,4.38E-06
186,1.00E-15,0.402285857,0.002031324,0.319240141,NA,0.007828283,NA,0.088457171,3.540572709,0.775529837
187,1.00E-15,0.023232323,0.000663429,0.008356171,NA,0.000959596,NA,0.010757576,0.049141414,9.59E-05
188,0.006818182,0.009777778,0.001264633,0.008628283,0.004545455,0.009848485,1.83E-06,-0.000474747,0.050787879,0.000171013
189,1.00E-15,0.004909091,0.000193242,0.000892835,NA,0.000242424,NA,0.003363636,0.007090909,9.04E-07
190,0.003434343,0.090908121,0.001926357,0.060984749,1.00E-15,0.008080808,4.25E-06,-1.00E-06,0.454544606,0.013445681
191,0.010555556,-0.006181818,0.000494063,0.000939039,0.009666667,0.011666667,2.60E-07,-0.007636364,-0.003272727,1.24E-06
192,1.00E-15,0.949494949,0.003655736,0.961543728,NA,0.011363636,NA,0.121212121,15.03030303,14.46539149
193,0.006818182,7.68E-05,0.001022844,6.72E-05,0.00479798,0.009343434,1.34E-06,-4.97E-05,0.000241212,5.51E-09
194,0.002626263,0.000910638,0.001485285,0.000131372,NA,0.005858586,NA,0.000645367,0.001205385,2.04E-08
197,1.00E-15,0.003666189,0.000777943,0.000603363,NA,0.007070707,NA,0.002500771,0.005220081,4.81E-07
198,0.020505051,0.007444181,0.007472924,0.001860848,0.005656566,0.036767677,6.30E-05,0.004419664,0.012629067,4.39E-06
209,1.00E-15,0.009545455,2.30E-05,0.000404271,NA,3.03E-06,NA,0.008737374,0.010454545,1.92E-07
212,1.00E-15,0.12959596,0.000550285,0.035017861,NA,0.070707071,NA,0.06979798,0.226767677,0.001603465
214,0.136363636,0.052524515,0.032197194,0.025254556,0.075757576,0.212121212,0.00121011,0.012120273,0.121211727,0.000774478
215,1.00E-15,0.111818182,0.000840482,0.023926637,NA,0.065656566,NA,0.070909091,0.174545455,0.00069896
220,0.257575758,0.037049058,0.060663275,0.021754635,0.143939394,0.393939394,0.004067316,0.006473367,0.113488285,0.000745275
221,0.141414141,-0.018263016,0.043393876,0.007517971,0.121212121,0.343434343,0.003213682,-0.023835737,0.082045955,0.000729574
222,1.00E-15,0.031311204,0.000461749,0.006825961,NA,0.061616162,NA,0.019908714,0.048414939,5.29E-05
223,1.00E-15,0.011364113,0.00050112,0.00240376,NA,0.032323232,NA,0.006906126,0.017308095,7.04E-06
224,0.260606061,-0.028242424,0.021928216,0.004919097,0.224242424,0.315151515,0.000537827,-0.035212121,-0.011515152,3.65E-05
225,0.004545455,6.52E-05,0.000723915,1.13E-05,0.003030303,0.006060606,5.98E-07,3.44E-05,9.60E-05,2.47E-10
226,0.005454545,0.000384848,0.000802218,1.70E-05,0.003787879,0.007272727,7.90E-07,0.000351515,0.000421212,3.16E-10
248,1.00E-15,0.061111111,0.001358223,0.004584992,NA,0.000323232,NA,0.052626263,0.071717172,2.37E-05
249,1.00E-15,0.012436555,0.000267833,0.002060425,NA,0.032828283,NA,0.008456398,0.01840679,6.44E-06
251,0.043636364,0.008282828,0.012678696,0.038187119,0.021818182,0.075151515,0.000185108,-0.04979798,0.117474747,0.001820867
252,0.058080808,0.434909091,0.013966007,0.073736267,0.03030303,0.088383838,0.00021953,0.303727273,0.606454545,0.005963908
255,1.00E-15,0.003020202,0.001200819,0.000112286,NA,0.000909091,NA,0.002772727,0.003267677,1.59E-08
256,0.581818182,-0.000131313,0.042778758,6.13E-05,0.501010101,0.677777778,0.00203345,-0.000244444,2.42E-05,4.70E-09
257,0.060606061,0.000335771,0.033870971,5.37E-05,1.00E-15,0.141414141,0.001301408,0.000126577,0.000544965,1.14E-08
258,0.048282828,-0.001129697,0.007428947,0.000270036,0.037939394,0.068323232,6.01E-05,-0.001459293,-0.00029303,8.85E-08
259,0.242424242,0.013858586,0.066083259,0.009089269,0.121212121,0.393939394,0.004840442,0.001252525,0.045373737,0.000126684
260,1.00E-15,0.001499055,0.000405135,0.000719926,NA,0.028282828,NA,0.000488618,0.004025145,8.14E-07
261,1.00E-15,0.000464242,0.001024359,0.000373333,NA,0.02020202,NA,-8.61E-05,0.00184,2.41E-07
265,0.001313131,0.000164166,0.001247776,3.29E-05,NA,0.004040404,NA,0.000101456,0.000245689,1.35E-09
266,0.058282828,-0.000828568,0.001659061,4.11E-05,0.055252525,0.062323232,3.25E-06,-0.000894034,-0.000697634,2.51E-09
267,1.00E-15,5.06E-05,0.000424572,1.02E-05,NA,0.001060606,NA,3.25E-05,7.53E-05,1.19E-10
268,0.011909091,-0.00012,0.000677872,1.23E-05,0.010636364,0.013454545,5.17E-07,-0.000141111,-9.00E-05,1.70E-10
276,1.00E-15,0.022525253,0.000693259,0.004964998,NA,0.007070707,NA,0.014040404,0.034646465,2.76E-05
277,1.00E-15,0.035171717,0.000483393,0.007415465,NA,0.009090909,NA,0.023111111,0.055272727,6.73E-05
278,1.00E-15,0.20530303,0.000927274,0.060918324,NA,0.732323232,NA,0.110151515,0.395606061,0.005302758
279,0.038181818,-0.002060606,0.004053807,0.000430076,0.030969697,0.047939394,1.87E-05,-0.002787879,-0.000848485,2.45E-07
280,0.036363636,0.000904834,0.006177831,0.000768949,0.024242424,0.05,4.32E-05,-0.000504276,0.002698247,6.67E-07
281,0.015909091,0.010738588,0.00909797,0.001401086,NA,0.035606061,NA,0.008063616,0.013795699,2.14E-06
282,2.075757576,-0.047777778,0.207197823,0.018001801,1.712121212,2.560606061,0.046850696,-0.072727273,0.00979798,0.000443202