"substudy_num","alpha_hat","beta_hat","alpha_se","beta_se","alpha_ci_lower","alpha_ci_upper","alpha_variance","beta_ci_lower","beta_ci_upper","beta_variance"
1,0.000166666666667333,3.34361414141414e-06,5.93232764556933e-05,2.42708774092298e-07,6.06060606069394e-05,0.000303030303030697,3.82454662866597e-09,2.29042222222222e-06,4.60744444444444e-06,3.49372135195726e-13
5,0.00909090909090973,0.00124242424242424,0.00308767400914005,0.00109231191392251,0.00378787878787964,0.0164141414141418,1.03747467140868e-05,-0.000515151515151515,0.00403030303030303,1.34456717414576e-06
6,0.00849090909090909,-0.000548484848484848,0.00217296844465105,0.000666109807424737,0.00490606060606061,0.0140060606060606,5.3890306122449e-06,-0.00151818181818182,0.00129393939393939,5.14630994355352e-07
7,1e-15,0.0136727272727273,0.000723222132590507,0.00285779995201147,NA,0.00929292929292983,NA,0.00876363636363636,0.0210363636363636,9.80189469952258e-06
8,0.00170707070707071,0.000311111111111111,0.000300854056662097,0.00012660649894103,0.00114141414141414,0.00235353535353535,9.56136657170318e-08,8.88888888888889e-05,0.000622222222222222,1.85108056828173e-08
9,0.00202020202020262,0.0392929292929293,0.000144125572027549,0.00317059877330637,0.00171717171717237,0.00232323232323286,2.39034164292484e-08,0.0327272727272727,0.0465151515151515,1.23715119656678e-05
10,0.000972727272727273,-4.87272727272729e-06,0.000179563438990794,3.8201137495708e-05,0.000654545454545455,0.0013969696969697,3.58700642791552e-08,-6.96e-05,9.22181818181818e-05,1.70405065382537e-09
11,0.000464646464647232,0.000142166666666667,0.000209081608726471,5.07676996468473e-05,8.08080808090404e-05,0.000949494949495475,4.91082410862819e-08,5.53333333333333e-05,0.000276363636363636,3.17929995689736e-09
12,1e-15,0.00109036363636364,0.000492271721543875,0.000239576850415964,NA,0.00101010101010176,NA,0.000680030303030303,0.00168721212121212,6.60151509056144e-08
13,0.00357575757575758,-0.000303363636363636,0.000334490833712547,0.000113277249874876,0.00296969696969697,0.00433333333333333,1.21011045673118e-07,-0.000498909090909091,8.18181818181907e-07,1.62515193609068e-08
14,0.000363636363637182,0.000191885858585859,0.000198177358939803,5.10567488007384e-05,1e-15,0.000808080808081404,4.24949625408605e-08,9.98222222222222e-05,0.000314637373737374,3.00301627710313e-09
15,0.000101010101011,2.24545454545455e-06,9.65376462571278e-05,6.92281550592568e-07,NA,0.000343434343435,NA,1.48484848484849e-07,5.39090909090909e-06,1.78851337577815e-12
17,0.00227272727272736,-2.02020202020314e-05,0.000290284182613008,2.90645338362306e-05,0.00174242424242455,NA,NA,-0.00104040404040405,0.001,2.70931945549847e-07
18,0.0062020202020202,-5.65656565656566e-05,0.000747891659076177,0.000139262116367138,0.00475757575757576,0.00804040404040404,7.01332877872324e-07,-0.000262626262626263,0.000424242424242424,3.07026104358024e-08
19,0.00103030303030369,1.47878787878788e-05,0.000209872425892491,2.10240954949034e-05,0.000636363636364424,0.00148484848484899,4.68506962013143e-08,-2.17777777777778e-05,6.5979797979798e-05,5.01183888408908e-10
20,0.00456565656565657,-0.000188313131313131,0.000303335858503205,3.05384689773393e-05,0.00401010101010101,0.00532323232323232,1.12213260459572e-07,-0.000235707070707071,-0.000101424242424242,1.17346144650898e-09
27,0.000560606060606687,4.64343434343434e-06,0.000115632059623165,3.31773677011078e-07,0.000333333333334111,0.000818181818182273,1.52981865147047e-08,1.36464646464646e-06,8.46868686868687e-06,3.2842689284568e-12
28,0.000424242424243141,1.73836363636364e-05,0.000164138613496535,2.60598200852038e-06,0.00012121212121304,0.000787878787879262,2.89231338793635e-08,1.23577777777778e-05,2.42044444444444e-05,9.13314186218705e-12
30,1e-15,0.00606060606060606,0.000526596820146243,0.000283513548043146,NA,0.000530303030303818,NA,0.00545454545454545,0.00666666666666667,9.56136657170316e-08
49,1e-15,0.0190909090909091,1.15803134647776e-05,0.000642071148831164,NA,2.52525252620202e-06,NA,0.0178787878787879,0.0206060606060606,4.84044182692473e-07
52,0.00606060606060686,0.00515317171717172,0.0018064945523106,0.000965750468094813,0.00242424242424334,0.0100000000000007,3.7349088170713e-06,0.00333511111111111,0.00757725252525253,1.17111124125193e-06
53,0.00757575757575827,0.002627,0.00148185318583639,0.000682204309525668,0.00479797979798061,0.0108585858585864,2.3903416429256e-06,0.001415,0.004344,5.58298690649729e-07
55,1e-15,0.0109698593232323,0.00025465698088962,0.00109915527256384,NA,0.000333333333334,NA,0.00888436445454545,0.0138374147676768,1.5965162565344e-06
57,0.0024242424242433,0.023,0.00463959719455724,0.00424259292428628,NA,0.0125252525252529,NA,0.015,0.034,2.34928154935444e-05
58,0.0106060606060613,6.70475757575755e-05,0.00171082291820397,0.000744184764638458,0.00727272727272803,0.0145454545454551,3.44209196581291e-06,-0.00122310921212121,0.00188844539393939,6.30061176755582e-07
59,0.0142424242424248,0.00234634001010101,0.0025178563481956,0.00131981867772174,0.00939393939394008,0.01969696969697,6.90808734805509e-06,9.29485050505051e-05,0.00563975836363636,2.00223211730173e-06
60,0.00161616161616245,0.0075803903030303,0.00240284185719606,0.0014165627313443,NA,0.00696969696969727,NA,0.00505541353535354,0.0111153577777778,2.38981962081494e-06
61,1e-15,0.00889939393939394,0.00138980060239269,0.00136771910989696,NA,0.00151515151515201,NA,0.00645292929292929,0.0128137373737374,2.63300964707891e-06
62,0.00222727272727273,-0.000117434848484848,0.000254806371828836,0.000223304283983324,0.00172727272727273,0.00277272727272727,7.11276035123106e-08,-0.000534707070707071,0.00037570505050505,5.39391289078739e-08
63,1e-15,0.0129159794444444,0.000987615669314369,0.00200692494605264,NA,0.0018686868686875,NA,0.00906309419191919,0.0182136966666667,5.44913093833654e-06
64,1e-15,0.00189621818181818,0.00196689286279138,0.000635647327124536,NA,0.00474747474747527,NA,0.000841890909090909,0.00385425454545455,5.90530942685727e-07
65,0.00565656565656637,0.00160579924242424,0.00343259888738285,0.000248235202431011,NA,0.0131313131313135,NA,0.00115323914141414,0.00223938338383838,7.67720035500398e-08
68,0.00909090909090964,0.0145959595959596,0.00188951879908295,0.000985887202273844,0.00525252525252599,0.0129292929292933,3.83517036931611e-06,0.0125757575757576,0.0168686868686869,1.19932072014853e-06
69,1e-15,0.717171717171717,0.000731401221027251,0.104373710103649,NA,0.0021212121212127,NA,0.527777777777778,0.96969696969697,0.0127090647247574
70,0.00373737373737436,0.321212121212121,0.000868199320335879,0.0316156481847622,0.00202020202020282,0.005555555555556,8.13380142384309e-07,0.263636363636364,0.393939393939394,0.00110493542444245
71,0.00686868686868753,0.180808080808081,0.00074884029591434,0.0136203772313572,0.00525252525252599,0.00848484848484906,6.79919400654379e-07,0.154545454545455,0.213131313131313,0.000223364146855621
72,0.00767676767676829,0.000169494949494949,0.00261327969579447,0.000141196335094411,0.00303030303030388,0.0137373737373741,7.46052186108654e-06,-5.37373737373737e-05,0.000548989898989899,2.36412019268831e-08
73,1e-15,0.00096969696969697,0.000871545038050676,0.000256038940336288,NA,0.00545454545454618,NA,0.000557575757575758,0.00162222222222222,7.37630215720153e-08
74,0.0216161616161616,-0.00451484529292929,0.00177320334519421,0.00452584695786038,0.0180808080808081,0.0255050505050505,3.58700642791552e-06,-0.0131224524444444,0.00624466364646465,2.44094378435255e-05
75,0.827272727272727,0.111943434343434,0.0231754829450465,0.0380383518272396,0.778787878787879,0.875757575757576,0.000611927460589003,0.0384838383838384,0.191279797979798,0.00151932822709614
76,0.0160909090909091,0.00171616161616162,0.000983525242447485,0.00168872035257561,0.0141212121212121,0.0181919191919192,1.07836943301649e-06,-0.00151313131313131,0.00536666666666667,3.08020227527803e-06
77,1e-15,0.0312121212121212,0.000162963242327981,0.000918634925772248,NA,3.87878787879091e-05,NA,0.0293939393939394,0.0331818181818182,9.3372720426789e-07
80,1e-15,0.00010044603030303,0.000460028355737035,2.23086962315942e-05,NA,0.00414141414141431,NA,6.1006303030303e-05,0.000157414525252525,6.0486160141929e-10
87,0.00298989898989962,3.96969696969697e-05,0.000395253560743478,4.14257092381865e-06,0.00218181818181891,0.00387878787878839,1.87402784805335e-07,3.16161616161616e-05,4.92929292929293e-05,2.03345035596118e-11
90,1e-15,0.00358573866666667,0.00101527973720089,0.000673335015085576,NA,0.00868686868686925,NA,0.002419072,0.00529684977777778,5.38942428823381e-07
91,0.00575757575757576,-8.28282828282828e-05,0.000423445779825444,3.03051001960832e-06,0.0054040404040404,0.00727272727272727,2.27248452025376e-07,-8.96969696969697e-05,-5.53535353535354e-05,7.6756526089506e-11
92,0.0615151515151515,-0.000733463636363636,0.0103983765661407,0.00181625939028011,0.0433333333333333,0.0857575757575758,0.000117126740503364,-0.00312384414141414,0.00609619494949495,5.53214291167038e-06
93,0.00746464646464646,-0.000346022424242424,0.00170579355864521,0.000156033171654194,0.00523232323232323,0.0121010101010101,3.07026104358024e-06,-0.000504608282828283,0.000193169494949495,3.16856145330392e-08
94,0.00252525252525327,0.000193282828282828,0.00131626044273361,0.000178977685800517,0.000505050505051454,0.00585858585858627,1.86513046527145e-06,-6.79292929292929e-05,0.000737474747474748,4.22138996966859e-08
95,0.002222222222223,7.80679090909091e-05,0.00109360901599613,0.000130631833355848,0.000505050505051454,0.00505050505050555,1.34456717414549e-06,-0.000117207131313131,0.00046861798989899,2.23338630156183e-08
96,0.0043939393939401,0.000708754747474747,0.00121416555444309,0.0003469051580612,0.00212121212121298,0.00727272727272779,1.72702183701366e-06,0.000172349090909091,0.0017279254949495,1.57474616618549e-07
97,1e-15,0.124949494949495,0.000608860776813446,0.043340330407221,NA,0.0363636363636371,NA,0.0632323232323232,0.262626262626263,0.00258732969771931
98,0.00121212121212217,0.0126666666666667,0.00445611238499879,0.00221891194098785,NA,0.0115151515151521,NA,0.00878787878787879,0.0184848484848485,6.11927460589003e-06
99,0.0409090909090916,0.142848484848485,0.0137191321914173,0.0303451773306948,0.015151515151516,0.0712121212121217,0.000204523606822835,0.0925454545454545,0.223333333333333,0.00111317349788063
101,1e-15,0.0239393939393939,0.000445126129099212,0.00217333559106709,NA,0.00636363636363673,NA,0.0196969696969697,0.0287878787878788,5.37826869658303e-06
102,0.00560606060606123,3.06060606060606e-06,0.000952031085655066,2.53166092227007e-07,0.00378787878787954,0.00772727272727321,1.00991934413601e-06,1.03030303030303e-06,7.12121212121212e-06,2.41430481789612e-12
103,0.010303030303031,2.71254545454545e-05,0.00255035688510376,5.36348216220811e-06,0.00545454545454627,0.0160606060606065,7.32042128145975e-06,1.4997696969697e-05,4.22851515151515e-05,4.84567091557064e-11
109,0.00509090909090909,-0.000275267595959596,0.00138770796243325,0.000957394616010277,0.00281818181818182,0.00845454545454545,2.06740648696652e-06,-0.00177896529292929,0.00235620337373737,1.11279284033878e-06
110,1e-15,0.0113939393939394,0.000596407115448347,0.00297057611955571,NA,0.00666666666666745,NA,0.00644444444444444,0.0198080808080808,1.16219008264463e-05
111,0.0309090909090909,-0.00658532444444444,0.00355284171284268,0.00314132221957549,0.0245454545454545,0.0393939393939394,1.43480257116621e-05,-0.0111911066666667,0.00328420888888889,1.36359043388763e-05
112,1e-15,0.0464484848484849,0.000867335007435247,0.0135317831691688,NA,0.0159090909090917,NA,0.0246393939393939,0.0876434343434343,0.000258323947524076
113,0.0212121212121219,0.00520234854545454,0.00324395482664114,0.00376456173720506,0.015151515151516,0.0287878787878794,1.21011045673115e-05,-0.00141144109090909,0.015123033,1.77913391206102e-05
114,1e-15,0.033110101010101,0.000401258596153546,0.00656877059433756,NA,0.00858585858585941,NA,0.0216050505050505,0.0492171717171717,4.96166465686741e-05
115,0.0567878787878788,-0.000202646808080808,0.00814340567591689,4.63430737357105e-05,0.0442626262626263,0.0780808080808081,7.44266335307947e-05,-0.000270045171717172,-7.53387878787879e-05,2.46710849043498e-09
116,1e-15,0.00263138181818182,0.000820915439706839,0.000325102597577427,NA,0.074747474747475,NA,0.00203922727272727,0.00338144424242424,1.1723932695638e-07
117,1e-15,0.000271313131313131,0.000210956860413546,3.8375112918142e-05,NA,0.0156565656565663,NA,0.000190909090909091,0.000371818181818182,2.12984818653385e-09
118,1e-15,0.000405555555555556,0.000821526984984242,5.35347177826956e-05,NA,0.013131313131314,NA,0.00031010101010101,0.000529292929292929,3.12663326732591e-09
119,0.207070707070708,0.000727090909090909,0.0301401128834718,0.000119201672806389,0.146464646464647,0.272727272727273,0.00103747467140876,0.000494363636363636,0.000983090909090909,1.55439365828976e-08
121,0.126262626262627,0.000640909090909091,0.0232304861525034,5.80078967981839e-05,0.0808080808080815,0.174242424242425,0.000568121130063435,0.000518181818181818,0.000763636363636364,3.92075787980903e-09
139,1e-15,0.019761027030303,0.000540791271321288,0.00322520483633377,NA,0.00580808080808158,NA,0.0138898826666667,0.0285677435757576,1.40201739422779e-05
140,0.00969696969697037,0.010417412,0.00278891097863067,0.00236952941835276,0.0042424242424251,0.0157575757575762,8.62913333096154e-06,0.00644034254545455,0.0163830161818182,6.43330637229543e-06
141,0.0153030303030303,-0.00051231094949495,0.00149578507216472,0.000797892999146813,0.0125555555555556,0.0186969696969697,2.45450903636256e-06,-0.00189038868686869,0.0014686757979798,7.34284817092515e-07
142,0.00939393939394008,0.0229726618888889,0.00310495662309272,0.00579560529879983,0.00363636363636452,0.0163636363636368,1.0541406645302e-05,0.0129691114848485,0.0379779874949495,4.07020433731131e-05
143,0.0121212121212129,0.00256762585858586,0.00172398665294011,0.00107104535433876,0.00858585858585941,0.0156565656565663,3.25352056953776e-06,0.000606483767676768,0.00518248197979798,1.36269781063467e-06
144,0.0123232323232327,0.00212121212121212,0.00122714911485363,0.00060123595030423,0.0098989898989904,0.0149494949494952,1.65995947425386e-06,0.00101010101010101,0.00353535353535354,4.14989868563506e-07
163,0.04,-0.000920034,0.00583744451940612,0.00189886429568875,0.0290909090909091,0.0536363636363636,3.92075787980903e-05,-0.003777476,0.004590747,4.55716082997508e-06
164,0.0500909090909091,-0.00275176545454545,0.00456346734426166,0.000537872714954963,0.0420808080808081,0.0611818181818182,2.37432701790198e-05,-0.00360188315151515,-0.00119321634343434,3.77555952750819e-07
165,1e-15,0.0084427036060606,0.000637633246335928,0.00176788526176479,NA,0.016161616161617,NA,0.00530893366666667,0.0131433585151515,3.99431309262787e-06
166,1e-15,0.00291414141414141,0.000308738918340927,0.000621516196254481,NA,0.016161616161617,NA,0.00170808080808081,0.00452222222222222,5.15370672297079e-07
167,0.024242424242425,0.00536011480808081,0.00906978944178095,0.00177190661298301,0.007070707070708,0.045454545454546,9.58792592329105e-05,0.00221668046464646,0.0104681956161616,4.43093387492738e-06
168,0.040404040404041,0.00100392568686869,0.00897165709228086,0.000594756632038439,0.023232323232324,0.060606060606061,9.08993808101485e-05,6.04913434343435e-05,0.00270210750505051,4.54116510393567e-07
170,0.00146464646464717,0.000247861616161616,0.000180155440961404,5.64433283401504e-05,0.00106060606060685,0.00181818181818245,3.73490881707006e-08,0.000142311111111111,0.000374522222222222,3.50908476438572e-09
171,0.00131313131313205,0.000596989898989899,0.000246315701878886,0.00010827315293731,0.000808080808081646,0.0018686868686875,7.32042128145732e-08,0.000407393939393939,0.000862424242424242,1.34743711393592e-08
172,0.0142424242424248,0.00186281175757576,0.00305823879579919,0.000772503354314025,0.0084848484848492,0.0209090909090912,1.0045410754395e-05,0.000547737111111111,0.00383542372727273,7.03410251333313e-07
173,0.0126262626262634,0.00104565481818182,0.00313595703064405,0.000833871561430226,0.00656565656565743,0.0196969696969703,1.12213260459567e-05,-0.000358706161616162,0.00320621017171717,8.27040065575982e-07
174,0.0345454545454545,-0.00262258133333333,0.003341400398178,0.00108824461663108,0.0284848484848485,0.0421212121212121,1.21011045673118e-05,-0.00450593915151515,0.000516348363636364,1.64146266430958e-06
175,1e-15,0.0184126467878788,0.00119493005008715,0.00678192541569851,NA,0.0111111111111119,NA,0.00804804651515151,0.0376611901515152,5.70685571134361e-05
185,0.00191919191919254,0.0035050505050505,0.000377087594638302,0.0018579754046703,0.00121212121212197,0.00277777777777822,1.59522105475748e-07,0.000393939393939394,0.0085959595959596,4.37793727837018e-06
186,1e-15,0.402285856565657,0.00203132363798013,0.319240140569349,NA,0.00782828282828352,NA,0.0884571713131313,3.54057270909091,0.775529836927762
187,1e-15,0.0232323232323232,0.000663429314994556,0.00835617055255806,NA,0.000959595959596768,NA,0.0107575757575758,0.0491414141414141,9.58792592329124e-05
188,0.00681818181818255,0.00977777777777778,0.00126463299292407,0.00862828315045434,0.00454545454545536,0.00984848484848545,1.83010532036491e-06,-0.000474747474747475,0.0507878787878788,0.000171013174936335
189,1e-15,0.00490909090909091,0.000193241632213945,0.000892834600076381,NA,0.000242424242425081,NA,0.00336363636363636,0.00709090909090909,9.04086967895608e-07
190,0.00343434343434426,0.0909081212121212,0.00192635708897611,0.0609847493257802,1e-15,0.00808080808080868,4.24949625408988e-06,-1e-06,0.454544606060606,0.0134456807052402
191,0.0105555555555556,-0.00618181818181818,0.000494063158901863,0.000939039276234129,0.00966666666666667,0.0116666666666667,2.60308204914619e-07,-0.00763636363636364,-0.00327272727272727,1.23915310769273e-06
192,1e-15,0.949494949494949,0.00365573618282686,0.961543727829902,NA,0.0113636363636372,NA,0.121212121212121,15.030303030303,14.4653914863297
193,0.00681818181818255,7.68080808080808e-05,0.00102284379132164,6.71742265872983e-05,0.00479797979798061,0.00934343434343497,1.34456717414565e-06,-4.96565656565656e-05,0.000241212121212121,5.50581743288696e-09
194,0.0026262626262635,0.000910638484848485,0.00148528511785961,0.000131372318939003,NA,0.00585858585858657,NA,0.000645366939393939,0.00120538464646465,2.04094538885316e-08
197,1e-15,0.00366618945454545,0.000777942965824531,0.000603363114327498,NA,0.00707070707070772,NA,0.00250077096969697,0.00522008076767677,4.81221742072895e-07
198,0.0205050505050512,0.00744418092929293,0.00747292352240263,0.0018608478481937,0.00565656565656658,0.0367676767676772,6.29881582262517e-05,0.00441966427272727,0.0126290666262626,4.3858214677629e-06
209,1e-15,0.00954545454545454,2.30094088264412e-05,0.000404271255001983,NA,3.03030303127273e-06,NA,0.00873737373737374,0.0104545454545455,1.91891315223765e-07
212,1e-15,0.12959595959596,0.000550284677290805,0.035017860630345,NA,0.070707070707071,NA,0.0697979797979798,0.226767676767677,0.00160346507749105
214,0.136363636363637,0.0525245151515152,0.0321971939532941,0.0252545564502927,0.0757575757575766,0.212121212121213,0.00121011045673118,0.0121202727272727,0.121211727272727,0.000774478437034242
215,1e-15,0.111818181818182,0.000840481606256485,0.0239266371218558,NA,0.0656565656565664,NA,0.0709090909090909,0.174545454545455,0.000698959799807931
220,0.257575757575758,0.0370490581818182,0.0606632753562694,0.0217546353931352,0.143939393939395,0.393939393939394,0.00406731570179091,0.00647336727272727,0.113488285454545,0.000745274931894343
221,0.141414141414142,-0.0182630163636364,0.0433938760319781,0.00751797095978608,0.121212121212122,0.343434343434344,0.00321368154215578,-0.023835736969697,0.0820459545454545,0.00072957443500818
222,1e-15,0.0313112041919192,0.000461748696255196,0.00682596096104207,NA,0.061616161616162,NA,0.0199087144949495,0.0484149387373737,5.28819255361943e-05
223,1e-15,0.0113641126666667,0.0005011196491161,0.00240375981439477,NA,0.032323232323233,NA,0.00690612566666667,0.0173080953333333,7.04140025941362e-06
224,0.260606060606061,-0.0282424242424242,0.0219282159852151,0.0049190967559863,0.224242424242424,0.315151515151515,0.000537826869658304,-0.0352121212121212,-0.0115151515151515,3.65437820712138e-05
225,0.00454545454545536,6.51818181818182e-05,0.00072391463109484,1.13382524834126e-05,0.00303030303030391,0.00606060606060682,5.97585410731401e-07,3.43636363636364e-05,9.6e-05,2.47230406752008e-10
226,0.00545454545454609,0.000384848484848485,0.00080221843015811,1.69683711519901e-05,0.00378787878787954,0.00727272727272779,7.90306705692235e-07,0.000351515151515151,0.000421212121212121,3.16122682276936e-10
248,1e-15,0.0611111111111111,0.00135822273270081,0.00458499203350149,NA,0.000323232323233,NA,0.0526262626262626,0.0717171717171717,2.37181649519312e-05
249,1e-15,0.0124365546666667,0.000267833085852545,0.00206042466279318,NA,0.0328282828282837,NA,0.00845639806060606,0.0184067895757576,6.44329779940645e-06
251,0.0436363636363645,0.00828282828282827,0.0126786961996489,0.0381871190643188,0.0218181818181827,0.0751515151515158,0.000185108056828172,-0.0497979797979798,0.117474747474747,0.00182086664991515
252,0.0580808080808088,0.434909090909091,0.0139660071616482,0.0737362673278502,0.0303030303030312,0.088383838383839,0.000219529640470093,0.303727272727273,0.606454545454545,0.00596390837495396
255,1e-15,0.00302020202020202,0.00120081882058201,0.000112286098250557,NA,0.000909090909091818,NA,0.00277272727272727,0.00326767676767677,1.59422507907356e-08
256,0.581818181818182,-0.000131313131313131,0.0427787583022805,6.12894588527779e-05,0.501010101010101,0.677777777777778,0.00203345035596118,-0.000244444444444444,2.42424242424242e-05,4.69808370241271e-09
257,0.0606060606060615,0.000335770646464647,0.0338709707358158,5.36973033666679e-05,1e-15,0.141414141414142,0.00130140822781515,0.000126576717171717,0.000544964575757576,1.13916337080943e-08
258,0.0482828282828283,-0.00112969696969697,0.00742894677837982,0.000270036036502587,0.0379393939393939,0.0683232323232323,6.0077678241827e-05,-0.00145929292929293,-0.000293030303030303,8.85157560272411e-08
259,0.242424242424243,0.0138585858585859,0.066083259311926,0.00908926874473574,0.121212121212122,0.393939393939395,0.00484044182692472,0.00125252525252525,0.0453737373737374,0.000126684282528438
260,1e-15,0.00149905454545455,0.00040513473575795,0.000719926255289046,NA,0.0282828282828291,NA,0.000488618181818182,0.00402514545454545,8.13920316453027e-07
261,1e-15,0.000464242424242424,0.00102435853445624,0.000373332664482715,NA,0.0202020202020211,NA,-8.6060606060606e-05,0.00184,2.41416952455913e-07
265,0.00131313131313218,0.000164166262626263,0.00124777616110686,3.28828657163164e-05,NA,0.00404040404040464,NA,0.000101456161616162,0.000245689393939394,1.35381255898633e-09
266,0.0582828282828283,-0.000828567606060606,0.0016590611416926,4.11057512100537e-05,0.0552525252525253,0.0623232323232323,3.25352056953789e-06,-0.000894034303030303,-0.000697634212121212,2.51021681780373e-09
267,1e-15,5.06169696969697e-05,0.000424571563685188,1.02404501440543e-05,NA,0.00106060606060685,NA,3.25414141414141e-05,7.52654545454545e-05,1.18787980818284e-10
268,0.0119090909090909,-0.00012,0.000677871765506733,1.22924686457219e-05,0.0106363636363636,0.0134545454545455,5.1685162174163e-07,-0.000141111111111111,-9e-05,1.70003753580041e-10
276,1e-15,0.0225252525252525,0.000693259382941838,0.00496499799802987,NA,0.00707070707070793,NA,0.014040404040404,0.0346464646464646,2.76323493922222e-05
277,1e-15,0.0351717171717172,0.00048339343232769,0.00741546523211778,NA,0.00909090909090979,NA,0.0231111111111111,0.0552727272727273,6.73137204632919e-05
278,1e-15,0.20530303030303,0.000927273647155342,0.060918323615298,NA,0.732323232323233,NA,0.110151515151515,0.395606060606061,0.00530275780408301
279,0.0381818181818182,-0.00206060606060606,0.0040538071365199,0.000430075707209486,0.030969696969697,0.047939393939394,1.87402784805382e-05,-0.00278787878787879,-0.000848484848484849,2.44770984235601e-07
280,0.0363636363636371,0.00090483402020202,0.00617783100622061,0.000768949340871505,0.0242424242424251,0.0500000000000007,4.31755459253466e-05,-0.000504276202020202,0.00269824703030303,6.67440327830203e-07
281,0.0159090909090917,0.010738588040404,0.00909796980284322,0.00140108576239738,NA,0.0356060606060611,NA,0.00806361603030303,0.0137956989090909,2.13822197322035e-06
282,2.07575757575758,-0.0477777777777778,0.207197822961613,0.0180018014942435,1.71212121212121,2.56060606060606,0.0468506962013455,-0.0727272727272727,0.0097979797979798,0.000443201875804138
